decade,gender,name,number
1970,boy,Michael,"707,629"
1970,boy,Christopher,"475,605"
1970,boy,Jason,"462,926"
1970,boy,David,"445,940"
1970,boy,James,"444,922"
1970,boy,John,"402,824"
1970,boy,Robert,"397,399"
1970,boy,Brian,"322,826"
1970,boy,William,"283,547"
1970,boy,Matthew,"277,935"
1970,girl,Jennifer,"581,766"
1970,girl,Amy,"269,001"
1970,girl,Melissa,"253,285"
1970,girl,Michelle,"249,145"
1970,girl,Kimberly,"229,105"
1970,girl,Lisa,"228,688"
1970,girl,Angela,"225,251"
1970,girl,Heather,"203,917"
1970,girl,Stephanie,"160,470"
1970,girl,Nicole,"144,670"
1980,boy,Michael,"663,788"
1980,boy,Christopher,"554,927"
1980,boy,Matthew,"459,004"
1980,boy,Joshua,"396,601"
1980,boy,David,"383,755"
1980,boy,James,"356,504"
1980,boy,Daniel,"345,535"
1980,boy,Robert,"321,685"
1980,boy,John,"321,185"
1980,boy,Joseph,"299,461"
1980,girl,Jessica,"469,503"
1980,girl,Jennifer,"440,882"
1980,girl,Amanda,"369,725"
1980,girl,Ashley,"352,188"
1980,girl,Sarah,"272,623"
1980,girl,Stephanie,"218,156"
1980,girl,Melissa,"217,920"
1980,girl,Nicole,"210,487"
1980,girl,Elizabeth,"198,980"
1980,girl,Heather,"191,861"
1990,boy,Michael,"462,342"
1990,boy,Christopher,"360,225"
1990,boy,Matthew,"351,630"
1990,boy,Joshua,"329,137"
1990,boy,Jacob,"298,365"
1990,boy,Nicholas,"275,302"
1990,boy,Andrew,"272,876"
1990,boy,Daniel,"272,277"
1990,boy,Tyler,"262,279"
1990,boy,Joseph,"260,691"
1990,girl,Jessica,"303,104"
1990,girl,Ashley,"301,808"
1990,girl,Emily,"237,235"
1990,girl,Sarah,"224,361"
1990,girl,Samantha,"224,004"
1990,girl,Amanda,"191,100"
1990,girl,Brittany,"190,815"
1990,girl,Elizabeth,"172,665"
1990,girl,Taylor,"169,017"
1990,girl,Megan,"160,358"
2000,boy,Jacob,"273,894"
2000,boy,Michael,"250,596"
2000,boy,Joshua,"231,966"
2000,boy,Matthew,"221,543"
2000,boy,Daniel,"203,766"
2000,boy,Christopher,"203,313"
2000,boy,Andrew,"202,477"
2000,boy,Ethan,"201,790"
2000,boy,Joseph,"194,775"
2000,boy,William,"194,320"
2000,girl,Emily,"223,709"
2000,girl,Madison,"193,168"
2000,girl,Emma,"181,290"
2000,girl,Olivia,"156,016"
2000,girl,Hannah,"155,715"
2000,girl,Abigail,"150,878"
2000,girl,Isabella,"149,528"
2000,girl,Samantha,"134,278"
2000,girl,Elizabeth,"133,441"
2000,girl,Ashley,"133,023"
2010,boy,Noah,"182,896"
2010,boy,Liam,"173,636"
2010,boy,Jacob,"162,876"
2010,boy,William,"159,600"
2010,boy,Mason,"157,591"
2010,boy,Ethan,"148,857"
2010,boy,Michael,"144,741"
2010,boy,Alexander,"141,833"
2010,boy,James,"139,307"
2010,boy,Elijah,"136,649"
2010,girl,Emma,"194,667"
2010,girl,Olivia,"184,192"
2010,girl,Sophia,"180,832"
2010,girl,Isabella,"170,185"
2010,girl,Ava,"155,546"
2010,girl,Mia,"128,824"
2010,girl,Abigail,"118,475"
2010,girl,Emily,"117,450"
2010,girl,Charlotte,"102,269"
2010,girl,Madison,"98,258"